,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
0,,,,,,274.2691615
1,0,Sun,0.000015813,1,1,196.9717996
2,,,,,,0.816115339
3,1,Sirius,8.6,2.1,1.71´,209.511165
4,,,,,,0.446295973
5,2,Canopus,310,15,71,82.76984296
6,,,,,,4.952082082
7,3,Alpha Centauri,4.4,1.1,1.2,1.013329785
8,,,,,,113.9622555
9,4,Arcturus,37,1.1,26,0.006077987
10,,,,,,21.24642597
11,5,Vega,25,2.2,2.7,38.93761757
12,,,,,,152.3717564
13,6,Capella,43,2.6,12,62.32603088
14,,,,,,0.212501933
15,7,Rigel,860,23,78.9,0.007117712
16,,,,,,56.18003501
17,8,Procyon,11.4,1.5,1.9,6.729227877
18,,,,,,160.8368539
19,9,Betelgeuse,0640[1],20,950,0.126455727
20,,,,,,62.19255362
21,10,Achernar,144,6.7,9.3,108.4519057
22,,,,,,17.49165571
23,11,Hadar,390,10.5,8.6,51.3546338
24,,,,,,133.3252868
25,12,Altair,17,1.8,1.8,0.058305519
26,,,,,,70.11637302
27,13,Acrux,320,18,8.9,77.74069202
28,,,,,,20.75999276
29,14,Aldebaran,65,1.5,44,4.97540429
30,,,,,,68.56729036
31,15,Antares,600,12,680,94.90282403
32,,,,,,45.08960137
33,16,Spica,260,11.43,7.47,22.62720582
34,,,,,,1.295159929
35,17,Pollux,34,1.9,8.8,0.504171253
36,,,,,,0.116564394
37,18,Fomalhaut,25,1.9,1.8,2.312624586
38,,,,,,20.75999276
39,19,Deneb,"2,600",19,203,0.1460605
40,,,,,,144.7268067
41,20,Mimosa,350,16,8.4,85.4309708
42,,,,,,0.22682941
43,21,Regulus,77,3.8,3.1,70.51915997
44,,,,,,70.23385645
45,22,Adhara,430,12.5,14,78.26943966
46,,,,,,37.0263368
47,23,Shaula,700,14.5,8.8,0.973736668
48,,,,,,0.329122994
49,24,Castor,52,2.8,2.4,0.063818863
50,,,,,,0.209899868
51,25,Gacrux,88,1.5,84,0.009795327
52,,,,,,269.2996711
